City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,lompoc,34.6391,-120.4579,18.66,82,0,0.0,US,1696486108
213,north bend,43.4065,-124.2243,15.48,100,0,2.57,US,1696486108
214,nuuk,64.1835,-51.7216,0.34,93,100,4.12,GL,1696486108
215,quiberon,47.4841,-3.1196,15.04,86,82,1.34,FR,1696486108
216,xiaoweizhai,26.1903,107.5125,19.68,90,100,2.06,CN,1696486109
217,dhidhdhoo,6.8833,73.1,27.37,80,100,5.42,MV,1696486109
218,gilgit,35.9221,74.3087,21.69,27,0,1.22,PK,1696486109
219,afaahiti,-17.75,-149.2833,24.93,84,54,10.21,PF,1696486109
220,coria,39.9879,-6.5377,16.36,46,0,1.16,ES,1696486110
221,taltal,-25.4,-70.4833,14.5,82,31,1.31,CL,1696486110
222,thompson,55.7435,-97.8558,5.83,91,98,1.48,CA,1696486110
223,walvis bay,-22.9575,14.5053,13.38,81,60,4.23,NA,1696486110
224,holualoa,19.6228,-155.9522,24.91,83,75,4.12,US,1696486110
225,maintirano,-18.0667,44.0167,29.34,62,4,0.89,MG,1696486111
226,luanda,-8.8368,13.2343,24.0,88,75,2.06,AO,1696485964
227,chonchi,-42.6128,-73.8092,7.29,95,28,1.1,CL,1696486111
228,znin,52.8496,17.7199,12.85,71,98,7.73,PL,1696486111
229,tweed heads,-28.1817,153.547,24.02,60,40,3.6,AU,1696486112
230,mena,51.5217,32.2157,11.09,75,34,4.87,UA,1696486112
231,kolonia town,6.964,158.206,28.06,83,100,2.57,FM,1696486112
232,howrah,22.5892,88.3103,30.0,84,75,4.63,IN,1696486112
233,karasburg,-28.0167,18.75,21.95,18,97,3.6,NA,1696486112
234,barra,-11.0894,-43.1417,26.44,53,62,2.79,BR,1696486113
235,sesheke,-17.4759,24.2968,25.5,17,64,4.57,ZM,1696486113
236,vodnyy,63.5046,53.4095,9.67,77,72,7.51,RU,1696486113
237,ola,59.5833,151.2833,10.23,62,18,1.12,RU,1696486114
238,freetown,8.484,-13.2299,25.5,86,91,0.93,SL,1696486114
239,aroma,15.8167,36.1333,32.06,40,0,1.89,SD,1696486114
240,williams lake,52.1415,-122.1445,10.76,86,100,2.06,CA,1696486114
241,pacasmayo,-7.4006,-79.5714,19.54,90,100,3.49,PE,1696486114
242,santa ana de yacuma,-13.75,-65.4333,29.61,39,11,3.05,BO,1696486115
243,nchelenge,-9.3451,28.734,26.91,39,100,2.01,ZM,1696486115
244,sao jose da coroa grande,-8.8978,-35.1478,25.36,67,87,3.86,BR,1696485968
245,casablanca,33.5928,-7.6192,17.01,66,95,0.98,MA,1696485907
246,estancia,-11.2683,-37.4383,21.26,95,21,1.27,BR,1696486115
247,wuhai,39.6647,106.8122,16.54,29,100,6.7,CN,1696486116
248,san antonio de pale,-1.4014,5.6325,25.46,86,99,6.65,GQ,1696486116
249,arar,30.9753,41.0381,25.01,38,0,5.14,SA,1696486116
250,kitimat,54.0524,-128.6534,9.39,26,100,1.03,CA,1696486116
251,quepos,9.4236,-84.1652,25.16,85,91,2.24,CR,1696486117
252,arraial do cabo,-22.9661,-42.0278,22.11,95,100,5.51,BR,1696486117
253,amasra,41.7463,32.3863,12.03,56,0,0.92,TR,1696486117
254,george town,5.4112,100.3354,31.77,96,40,1.54,MY,1696486077
255,hadibu,12.65,54.0333,28.63,63,26,1.8,YE,1696486117
256,howard springs,-12.497,131.047,28.95,53,60,4.64,AU,1696486118
257,uthal,25.8072,66.6219,31.33,56,12,2.91,PK,1696486118
258,vicam,27.6333,-110.2833,27.37,45,96,2.1,MX,1696486118
259,colares,38.7992,-9.4469,19.63,72,6,7.15,PT,1696486118
260,al kharijah,25.4514,30.5464,27.11,42,14,6.56,EG,1696486119
261,urangan,-25.3,152.9,23.05,83,38,5.34,AU,1696486119
262,ocean shores,46.9737,-124.1563,14.6,97,100,1.79,US,1696486119
263,invercargill,-46.4,168.35,18.9,67,81,0.89,NZ,1696486119
264,fale old settlement,-9.3852,-171.2468,27.92,78,20,1.82,TK,1696486119
265,newnham,-41.3833,147.1333,14.53,51,100,5.66,AU,1696486120
266,mount gambier,-37.8333,140.7667,13.51,84,84,5.52,AU,1696486120
267,dwarka,22.2394,68.9678,28.91,62,22,5.22,IN,1696486120
268,sisimiut,66.9395,-53.6735,0.06,83,100,2.5,GL,1696486120
269,godech,43.015,23.0442,9.91,72,94,0.83,BG,1696486121
270,nantucket,41.2835,-70.0995,18.03,100,100,0.0,US,1696486121
271,gandajika,-6.75,23.95,25.95,39,52,1.55,CD,1696486121
272,westport,41.1415,-73.3579,18.27,87,0,1.13,US,1696486078
273,la ronge,55.1001,-105.2842,7.24,90,97,5.59,CA,1696486121
274,dolores,-36.3132,-57.6792,5.19,66,0,3.59,AR,1696486122
275,cherlak,54.155,74.8055,14.42,44,65,4.87,RU,1696486122
276,kenora,49.8167,-94.4337,10.43,93,99,1.79,CA,1696486122
277,enewetak,11.3474,162.3373,28.97,79,94,7.08,MH,1696486122
278,owase,34.0667,136.2,21.32,60,66,5.27,JP,1696486122
279,akureyri,65.6835,-18.0878,2.57,90,99,1.03,IS,1696486123
280,metkovic,43.0542,17.6483,15.26,78,86,1.74,HR,1696486123
281,bela,25.9333,81.9833,30.7,67,68,2.79,IN,1696486123
282,nema,57.5067,50.5011,12.5,61,84,6.71,RU,1696486123
283,san julian,21.0167,-102.1667,15.41,86,93,1.36,MX,1696486124
284,polyarnyy,69.1989,33.4478,1.7,81,29,8.31,RU,1696486124
285,newman,37.3138,-121.0208,22.13,43,0,1.55,US,1696486124
286,xilin hot,43.9667,116.0333,15.58,21,0,6.32,CN,1696486124
287,santa cruz,-17.8,-63.1667,24.7,38,75,6.69,BO,1696486124
288,aleksandrovskoye,44.7142,43.0008,17.06,52,58,3.54,RU,1696486125
289,jindabyne,-36.4167,148.6333,8.71,64,42,5.15,AU,1696486125
290,yanam,16.7333,82.2167,35.35,39,30,3.03,IN,1696486125
291,puerto carreno,6.189,-67.4859,25.08,87,100,3.07,CO,1696486125
292,wynyard,-41.0,145.7167,10.88,92,87,4.49,AU,1696486125
293,pacific grove,36.6177,-121.9166,20.3,66,0,3.09,US,1696485826
294,island harbour,50.724,-1.2758,14.99,87,100,5.27,GB,1696486126
295,mount pearl,47.5166,-52.7813,7.3,83,100,2.24,CA,1696486126
296,zelenoborskiy,66.845,32.3622,0.37,73,84,2.53,RU,1696486126
297,urzhar,47.093,81.6294,18.66,35,7,2.4,KZ,1696486126
298,hirara,24.8,125.2833,28.53,80,73,4.53,JP,1696486127
299,rimus,16.8764,120.3966,28.46,81,100,3.79,PH,1696486127
